0x00000000	Reset
0x00000004	_UndefinedInstruction
0x00000008	_SoftwareInterrupt
0x0000000c	_AbortPrefetch
0x00000010	_AbortData
0x00000014	_not_used
0x00000018	_IRQ
0x0000001c	_FIQ
0x00000020	kEntriesPerSlot
0x00000034	gInitHardware
0x0000003C	gPackageStart
0x00000040	DataAreaTable
0x00000100	g8MegContinuousTableStart
0x00000174	g8MegContinuousTableStartFor4MbK
0x00000400	kEntriesPerPage
0x00001000	gParamBlock
0x000013D4	gOldCheckSumC
0x000013D8	gOldCheckSumD
0x000013DC	gROMVersion
0x000013E0	gROMStage
0x000013E4	gOldCheckSumA
0x000013E8	gOldCheckSumB
0x000013EC	gHardwareType
0x000013F0	gROMManufacturer
0x000013F4	gDebuggerBits
0x000013F8	gNewtTests
0x000013FC	gNewtConfig
0x00002000	gTheROMPatchTable
0x00002324	Image$$root$$ZI$$Length
0x000052F0	Image$$root$$Length
0x0001285C	gTheROMPatchTableEnd
0x00013000	gROMPublicJumpTable
0x00015E0C	gROMPublicJumpTableEnd
0x00016000	gROMPatchTablePageTable
0x00018000	gROMPublicJumpTablePageTable
0x00018400	AsmTraceAddAddrEvent
0x0001841C	gInitialCPUMode
0x00018420	gDiagCheckTag1
0x00018424	gDiagCheckTag2
0x00018428	gDiagCheckTag3
0x0001842C	gDiagType
0x00018430	gPhysROMAcsum
0x00018434	gPhysROMBcsum
0x00018438	gPhysROMCcsum
0x0001843C	gPhysROMDcsum
0x00018440	gPhysROMEcsum
0x00018444	gPhysROMFcsum
0x00018448	gPhysROMGcsum
0x0001844C	gPhysROMHcsum
0x000184D0	DiagHook
0x00018688	ROMBoot
0x000188F8	FlushTheCache
0x0001892C	FlushTheMMU
0x0001894C	CleanPageInDcache
0x00018994	FlushDCache
0x000189C8	CleanPageInIandDCacheSWIGlue
0x00018A3C	CleanDCandFlushICSWIGlue
0x00018A78	CleanPageInDCSWIGlue
0x00018AE8	CleanRangeInDCSWIGlue
0x00018B58	SetFIQStack
0x00018BC4	SetIRQStack
0x00018BE4	SetUndefStack
0x00018C10	SetAbortStack
0x00018C30	SetUserStack
0x00018C44	SaveDebuggerCPUInfo
0x00018CA4	LoadFromPhysAddress
0x00018CE0	StoreToPhysAddress
0x00018D1C	LoadPhysicalByte
0x00018D58	StorePhysicalByte
0x00018D94	ZeroPhysSubPage
0x00018DF4	PhysSubPageCopy
0x00018E54	PhysFullSubPageCopy
0x00018EE0	SafeTouchCard
0x00018EE8	SpecialCPUIntDisable
0x00018EF8	SpecialCPUIntEnable
0x00018F08	SafeShortTimerDelay
0x00018F48	SaveCPUStateAndStopSystem
0x0001942C	LowLevelGetCPUType
